23,22,24,25,24,24,24,24,22,23,18,22,24,24,24,24,25,24,22,23,
24,14,14,14,14,14,14,14,14,14,18,14,14,14,14,14,14,14,14,24,
24,14,22,24,2,6,6,7,24,14,18,24,2,6,6,7,24,22,14,24,
24,14,23,2,10,0,0,13,6,6,6,6,10,0,0,13,7,23,14,24,
24,14,2,10,0,0,1,0,0,0,0,0,0,1,0,0,13,7,14,24,
24,14,3,0,0,0,0,0,12,5,18,11,0,0,0,0,0,8,14,24,
25,14,3,0,0,0,0,0,8,24,18,3,0,0,0,0,0,8,14,25,
24,14,4,11,0,0,0,0,8,24,18,3,0,0,0,0,12,9,14,24,
24,14,25,3,0,1,0,0,8,25,29,3,0,0,1,0,8,25,14,24,
24,14,24,4,5,5,11,0,8,24,24,3,0,12,5,5,9,24,14,24,
26,14,14,14,28,24,3,0,8,24,24,3,0,8,24,28,14,14,14,26,
24,30,24,24,23,22,3,0,8,24,24,3,0,8,22,23,24,24,31,24,
